2024-08-13 13:15:50 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:15:50 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:17:09 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:17:09 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:17:16 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:17:16 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:17:17 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 13:17:17 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 13:17:44 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 13:17:44 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 13:17:58 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 13:17:58 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 13:18:07 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 13:18:07 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 13:21:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:21:26 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:21:36 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:21:36 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:23:32 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:23:32 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:23:40 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:23:40 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 13:24:15 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:24:15 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 13:24:22 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 13:24:22 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 200 51
